"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Paź. '18","1,500","1,400","1,400","1,450","3,45%"
"Wrz. '18","1,450","1,440","1,450","1,450","0,00%"
"Sie. '18","1,450","1,440","1,430","1,450","-3,33%"
"Lip. '18","1,500","1,440","1,450","1,500","4,17%"
"Cze. '18","1,440","1,500","1,440","1,440","-4,00%"
"Maj '18","1,500","1,420","1,440","1,440","2,04%"
"Kwi. '18","1,470","1,420","1,470","1,440","0,00%"
"Mar. '18","1,470","1,530","1,450","1,500","-8,12%"
"Luty '18","1,600","1,490","1,470","1,520","11,11%"
"Sty. '18","1,440","1,470","1,470","1,470","-2,04%"
"Gru. '17","1,470","1,460","1,450","1,460","-8,12%"
"Lis. '17","1,600","1,480","1,490","1,460","8,84%"
"Paź. '17","1,470","1,480","1,490","1,480","-0,68%"
"Wrz. '17","1,480","1,320","1,480","1,480","11,28%"
"Sie. '17","1,330","1,470","1,470","1,490","-11,33%"
"Lip. '17","1,500","1,470","1,510","1,470","-5,66%"
"Cze. '17","1,590","1,470","1,500","1,480","6,00%"
"Maj '17","1,500","1,500","1,500","1,470","1,35%"
"Kwi. '17","1,480","1,500","1,500","1,470","-1,33%"
"Mar. '17","1,500","1,440","1,530","1,470","4,17%"
"Luty '17","1,440","1,510","1,520","1,490","-2,70%"
"Sty. '17","1,480","1,820","1,540","1,470","-19,57%"
"Gru. '16","1,840","1,530","1,660","1,470","19,48%"
"Lis. '16","1,540","2,010","1,510","1,470","-24,14%"
"Paź. '16","2,030","1,980","1,710","1,920","3,57%"
"Wrz. '16","1,960","1,830","1,740","1,450","6,52%"
"Sie. '16","1,840","1,930","1,800","1,450","-4,66%"
"Lip. '16","1,930","1,700","1,710","1,450","13,53%"
"Cze. '16","1,700","1,660","1,640","1,440","20,57%"
"Maj '16","1,410","1,350","1,450","1,350","-3,42%"
"Kwi. '16","1,460","1,220","1,450","1,330","20,66%"
"Mar. '16","1,210","1,110","1,440","1,190","9,01%"
"Luty '16","1,110","1,490","1,440","1,360","-24,49%"
"Sty. '16","1,470","1,440","1,480","1,440","3,52%"
"Gru. '15","1,420","1,630","1,510","1,590","-3,40%"
"Lis. '15","1,470","1,530","1,560","1,450","-1,34%"
"Paź. '15","1,490","1,510","1,500","1,440","-0,67%"
"Wrz. '15","1,500","1,480","1,510","1,440","3,45%"
"Sie. '15","1,450","1,400","1,520","1,440","0,00%"
"Lip. '15","1,450","1,300","1,520","1,420","11,54%"
"Cze. '15","1,300","1,400","1,500","1,350","-7,80%"
"Maj '15","1,410","1,570","1,480","1,440","-10,19%"
"Kwi. '15","1,570","1,600","1,550","1,430","8,28%"
"Mar. '15","1,450","1,690","1,550","1,570","-11,59%"
"Luty '15","1,640","1,800","1,780","1,710","-1,80%"
"Sty. '15","1,670","2,020","1,840","1,840","5,03%"
"Gru. '14","1,590","1,850","1,900","1,850","-12,15%"
"Lis. '14","1,810","1,710","1,810","1,800","0,56%"
"Paź. '14","1,800","2,110","1,910","2,010","-14,69%"
"Wrz. '14","2,110","2,450","2,210","2,330","-10,21%"
"Sie. '14","2,350","2,530","2,500","2,400","-2,49%"
"Lip. '14","2,410","2,500","2,490","2,410","-1,63%"
"Cze. '14","2,450","2,440","2,490","2,400","0,41%"
"Maj '14","2,440","2,460","2,510","2,400","-1,21%"
"Kwi. '14","2,470","2,420","2,520","2,410","4,22%"
"Mar. '14","2,370","2,400","2,510","2,410","-1,25%"
"Luty '14","2,400","2,450","2,510","2,410","-4,38%"
"Sty. '14","2,510","2,450","2,500","2,410","3,29%"
"Gru. '13","2,430","2,340","2,520","2,390","3,85%"
"Lis. '13","2,340","2,300","2,520","2,370","-1,68%"
"Paź. '13","2,380","2,250","2,520","2,400","5,78%"
"Wrz. '13","2,250","2,250","2,530","2,320","-2,60%"
"Sie. '13","2,310","2,360","2,560","2,340","-2,12%"
"Lip. '13","2,360","2,400","2,560","2,410","-1,67%"
"Cze. '13","2,400","2,600","2,670","2,600","-7,69%"
"Maj '13","2,600","2,800","2,800","2,750","-7,14%"
"Kwi. '13","2,800","3,200","3,060","3,080","-8,79%"
"Mar. '13","3,070","3,550","3,250","3,540","-14,25%"
"Luty '13","3,580","3,720","3,610","3,720","-3,76%"
"Sty. '13","3,720","4,020","3,850","3,890","-7,46%"
