"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Cze. '18","2,586","2,608","2,683","2,531","-0,31%"
"Maj '18","2,594","2,490","2,741","2,452","4,30%"
"Kwi. '18","2,487","2,507","2,603","2,340","-0,40%"
"Mar. '18","2,497","2,735","2,756","2,492","-8,74%"
"Luty '18","2,736","2,905","2,972","2,727","-6,14%"
"Sty. '18","2,915","2,759","2,945","2,609","5,88%"
"Gru. '17","2,753","2,875","2,894","2,708","-3,40%"
"Lis. '17","2,850","2,930","3,018","2,788","-2,56%"
"Paź. '17","2,925","2,916","3,067","2,833","0,17%"
"Wrz. '17","2,920","2,795","2,958","2,643","4,58%"
"Sie. '17","2,792","2,928","2,978","2,754","-3,59%"
"Lip. '17","2,896","2,887","2,981","2,790","0,87%"
"Cze. '17","2,871","2,849","2,994","2,712","0,74%"
"Maj '17","2,850","3,070","3,117","2,824","-6,95%"
"Kwi. '17","3,063","2,946","3,095","2,871","4,01%"
"Mar. '17","2,945","3,245","3,246","2,935","-7,91%"
"Luty '17","3,198","3,282","3,318","3,152","-2,08%"
"Sty. '17","3,266","3,182","3,319","3,049","4,25%"
"Gru. '16","3,133","3,171","3,338","2,927","-0,38%"
"Lis. '16","3,145","2,657","3,255","2,623","18,10%"
"Paź. '16","2,663","2,442","2,757","2,398","9,14%"
"Wrz. '16","2,440","2,324","2,524","2,273","5,17%"
"Sie. '16","2,320","2,410","2,433","2,179","-3,29%"
"Lip. '16","2,399","2,309","2,494","2,289","1,18%"
"Cze. '16","2,371","2,598","2,812","2,369","-8,28%"
"Maj '16","2,585","2,493","2,639","2,367","3,44%"
"Kwi. '16","2,499","2,199","2,553","2,137","14,84%"
"Mar. '16","2,176","2,281","2,335","2,156","-3,97%"
"Luty '16","2,266","2,416","2,489","2,222","-6,90%"
"Sty. '16","2,434","2,442","2,715","2,154","0,25%"
"Gru. '15","2,428","2,302","2,863","2,222","7,24%"
"Lis. '15","2,264","2,303","2,569","2,184","-0,83%"
"Paź. '15","2,283","2,566","2,566","2,212","-11,27%"
"Wrz. '15","2,573","2,671","2,788","2,429","-3,60%"
"Sie. '15","2,669","2,628","2,789","2,398","2,34%"
"Lip. '15","2,608","2,970","2,970","2,477","-11,50%"
"Cze. '15","2,947","2,640","3,087","2,607","11,84%"
"Maj '15","2,635","2,361","2,771","2,316","10,85%"
"Kwi. '15","2,377","1,971","2,441","1,878","20,72%"
"Mar. '15","1,969","1,906","2,228","1,858","2,77%"
"Luty '15","1,916","1,712","2,088","1,712","9,24%"
"Sty. '15","1,754","2,239","2,239","1,696","-29,33%"
"Gru. '14","2,482","2,066","2,396","2,053","20,72%"
"Lis. '14","2,056","2,114","2,299","2,013","-2,74%"
"Paź. '14","2,114","2,573","2,600","2,081","-17,03%"
"Wrz. '14","2,548","2,724","2,735","2,422","-5,66%"
"Sie. '14","2,701","3,074","3,219","2,619","-12,70%"
"Lip. '14","3,094","3,172","3,249","2,863","-1,78%"
"Cze. '14","3,150","3,416","3,453","2,992","-7,35%"
"Maj '14","3,400","3,642","3,700","3,320","-8,38%"
"Kwi. '14","3,711","3,926","4,049","3,632","-1,51%"
"Mar. '14","3,768","3,940","4,155","3,531","-3,38%"
"Luty '14","3,900","4,305","4,305","3,655","-9,58%"
"Sty. '14","4,313","3,908","4,539","3,572","11,39%"
