"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Paź. '18","1,270","1,348","1,659","1,154","-3,20%"
"Wrz. '18","1,312","1,357","1,506","1,239","-2,96%"
"Sie. '18","1,352","1,368","1,501","1,328","-2,31%"
"Lip. '18","1,384","1,397","1,473","1,344","-0,57%"
"Cze. '18","1,392","1,368","1,502","1,313","2,05%"
"Maj '18","1,364","1,319","1,515","1,298","3,49%"
"Kwi. '18","1,318","1,335","1,396","1,202","-1,79%"
"Mar. '18","1,342","1,406","1,492","1,139","-3,94%"
"Luty '18","1,397","1,419","1,509","1,209","3,56%"
"Sty. '18","1,349","1,454","1,525","1,282","-8,42%"
"Gru. '17","1,473","1,287","2,019","1,282","15,80%"
"Lis. '17","1,272","1,245","1,370","1,216","1,19%"
"Paź. '17","1,257","1,515","1,531","1,224","-16,37%"
"Wrz. '17","1,503","1,422","1,548","1,365","6,44%"
"Sie. '17","1,412","1,551","1,586","1,388","-9,72%"
"Lip. '17","1,564","1,632","1,655","1,544","-3,10%"
"Cze. '17","1,614","1,528","1,699","1,439","3,13%"
"Maj '17","1,565","1,567","1,633","1,501","0,13%"
"Kwi. '17","1,563","1,627","1,779","1,543","-1,45%"
"Mar. '17","1,586","1,665","1,803","1,557","-5,60%"
"Luty '17","1,680","1,734","1,797","1,644","-1,98%"
"Sty. '17","1,714","1,515","1,747","1,349","17,40%"
"Gru. '16","1,460","1,540","1,644","1,432","-5,56%"
"Lis. '16","1,546","1,492","1,708","1,350","-2,34%"
"Paź. '16","1,583","1,576","1,654","1,483","1,02%"
"Wrz. '16","1,567","1,546","1,643","1,461","5,45%"
"Sie. '16","1,486","1,561","1,640","1,475","-4,50%"
"Lip. '16","1,556","1,697","1,778","1,468","-6,49%"
"Cze. '16","1,664","1,474","1,860","1,434","9,69%"
"Maj '16","1,517","1,404","1,575","1,373","6,31%"
"Kwi. '16","1,427","1,369","1,445","1,314","4,01%"
"Mar. '16","1,372","1,378","1,414","1,258","-0,36%"
"Luty '16","1,377","1,441","1,481","1,321","-3,10%"
"Sty. '16","1,421","1,550","1,599","1,312","-3,60%"
"Gru. '15","1,474","1,575","1,917","1,425","-5,99%"
"Lis. '15","1,568","1,582","1,701","1,438","0,38%"
"Paź. '15","1,562","1,700","1,824","1,492","-8,23%"
"Wrz. '15","1,702","1,755","1,895","1,559","1,98%"
"Sie. '15","1,669","2,061","2,315","1,619","-3,19%"
"Lip. '15","1,724","1,786","2,055","1,650","-5,27%"
"Cze. '15","1,820","1,646","1,864","1,618","7,76%"
"Maj '15","1,689","1,617","1,814","1,585","2,12%"
"Kwi. '15","1,654","1,549","1,745","1,476","6,71%"
"Mar. '15","1,550","1,631","1,721","1,513","-5,31%"
"Luty '15","1,637","1,533","1,911","0,906","1,43%"
"Sty. '15","1,614","1,795","2,342","1,523","-5,78%"
"Gru. '14","1,713","1,787","2,342","1,774","-2,23%"
"Lis. '14","1,752","1,726","2,047","1,579","4,16%"
"Paź. '14","1,682","2,084","2,084","1,644","-15,56%"
