"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Paź. '18","2,473","2,564","2,663","2,367","-3,02%"
"Wrz. '18","2,550","2,540","2,772","2,492","1,07%"
"Sie. '18","2,523","2,531","2,631","2,435","-0,47%"
"Lip. '18","2,535","2,564","2,661","2,447","-0,24%"
"Cze. '18","2,541","2,447","2,608","2,385","3,84%"
"Maj '18","2,447","2,403","2,657","2,380","3,21%"
"Kwi. '18","2,371","2,356","2,519","2,222","1,11%"
"Mar. '18","2,345","2,617","2,673","2,345","-10,05%"
"Luty '18","2,607","2,764","2,873","2,600","-6,09%"
"Sty. '18","2,776","2,639","2,809","2,491","4,75%"
"Gru. '17","2,650","2,705","2,728","2,589","-1,38%"
"Lis. '17","2,687","2,652","2,753","2,523","1,09%"
"Paź. '17","2,658","2,702","2,815","2,629","-1,63%"
"Wrz. '17","2,702","2,615","2,735","2,473","3,17%"
"Sie. '17","2,619","2,737","2,781","2,582","-4,17%"
"Lip. '17","2,733","2,666","2,811","2,596","3,05%"
"Cze. '17","2,652","2,689","2,757","2,559","-0,26%"
"Maj '17","2,659","2,893","2,952","2,646","-8,44%"
"Kwi. '17","2,904","2,907","2,944","2,824","-0,45%"
"Mar. '17","2,917","3,187","3,187","2,884","-6,86%"
"Luty '17","3,132","3,193","3,295","3,074","-1,11%"
"Sty. '17","3,167","2,894","3,210","2,796","9,47%"
"Gru. '16","2,893","2,917","3,060","2,696","0,66%"
"Lis. '16","2,874","2,513","3,005","2,459","14,64%"
"Paź. '16","2,507","2,344","2,608","2,292","6,59%"
"Wrz. '16","2,352","2,190","2,421","2,122","9,19%"
"Sie. '16","2,154","2,291","2,298","2,048","-5,90%"
"Lip. '16","2,289","2,159","2,398","2,159","2,42%"
"Cze. '16","2,235","2,309","2,641","2,235","-3,50%"
"Maj '16","2,316","2,270","2,388","2,107","1,62%"
"Kwi. '16","2,279","2,191","2,334","2,145","3,69%"
"Mar. '16","2,198","2,209","2,342","2,127","-0,95%"
"Luty '16","2,219","2,346","2,417","2,175","-7,00%"
"Sty. '16","2,386","2,239","2,604","1,875","6,90%"
"Gru. '15","2,232","2,084","2,704","2,046","7,20%"
"Lis. '15","2,082","2,120","2,354","2,005","-0,57%"
"Paź. '15","2,094","2,413","2,413","2,013","-12,38%"
"Wrz. '15","2,390","2,517","2,615","2,323","-4,93%"
"Sie. '15","2,514","2,503","2,643","2,240","1,13%"
"Lip. '15","2,486","2,741","2,745","2,320","-9,37%"
"Cze. '15","2,743","2,494","2,903","2,460","11,50%"
"Maj '15","2,460","2,269","2,610","2,235","10,22%"
"Kwi. '15","2,232","1,956","2,291","1,866","14,87%"
"Mar. '15","1,943","1,888","2,208","1,849","2,59%"
"Luty '15","1,894","1,649","2,151","1,649","12,81%"
"Sty. '15","1,679","2,147","2,151","1,629","-27,82%"
"Gru. '14","2,326","1,997","2,307","1,979","17,65%"
"Lis. '14","1,977","2,008","2,217","1,941","-1,59%"
"Paź. '14","2,009","2,400","2,424","1,943","-15,62%"
"Wrz. '14","2,381","2,557","2,581","2,232","-7,14%"
"Sie. '14","2,564","2,804","3,072","2,488","-10,29%"
"Lip. '14","2,858","3,028","3,108","2,726","-5,89%"
"Cze. '14","3,037","3,246","3,302","2,960","-8,08%"
"Maj '14","3,304","3,546","3,645","3,075","-7,11%"
"Kwi. '14","3,557","3,754","3,864","3,402","-5,47%"
"Mar. '14","3,763","3,793","3,977","3,486","0,83%"
"Luty '14","3,732","4,114","4,117","3,618","-9,40%"
"Sty. '14","4,119","3,675","4,132","3,335","12,97%"
"Gru. '13","3,646","3,773","3,824","3,470","-3,24%"
"Lis. '13","3,768","3,517","3,828","3,508","7,66%"
"Paź. '13","3,500","3,876","3,888","3,407","-9,72%"
"Wrz. '13","3,877","3,860","4,426","3,576","0,60%"
"Sie. '13","3,854","3,385","3,951","3,374","11,94%"
"Lip. '13","3,443","3,764","3,768","3,142","-8,24%"
"Cze. '13","3,752","3,144","3,962","3,001","19,60%"
"Maj '13","3,137","2,773","3,170","2,543","12,64%"
"Kwi. '13","2,785","3,432","3,432","2,771","-19,30%"
"Mar. '13","3,451","3,629","3,899","3,305","-5,01%"
"Luty '13","3,633","3,423","3,724","3,393","6,54%"
"Sty. '13","3,410","3,227","3,751","3,227","5,87%"
"Gru. '12","3,221","3,569","3,643","3,184","-10,05%"
"Lis. '12","3,581","4,085","4,085","3,534","-12,29%"
"Paź. '12","4,083","4,175","4,292","4,003","-2,48%"
"Wrz. '12","4,187","4,339","4,413","4,168","-3,19%"
