daty;WIBOR_1M;WIBOR_3M;WIBOR_6M;SWAP_1Y;SWAP_2Y;SWAP_3Y;SWAP_4Y;SWAP_5Y;SWAP_6Y;SWAP_7Y;SWAP_8Y;SWAP_9Y;SWAP_10Y
2000-12-29;19,83631579;19,69368421;19,61421053;19,39210526;17,42;16,02105263;14,98894737;14,23526316;13,66210526;13,27105263;12,87052632;12,59368421;12,46266667
2001-01-31;19,43090909;18,96318182;18,46913043;18,06347826;15,94521739;14,60173913;13,69478261;13,07565217;12,59913043;12,20478261;11,86695652;11,61130435;11,48545455
2001-02-28;19,3305;18,596;18,0495;17,698;15,6925;14,369;13,4445;12,796;12,312;11,9175;11,628;11,384;11,174
2001-03-30;18,36863636;18,00545455;17,56;17,20318182;15,53363636;14,41590909;13,59272727;12,96954545;12,47772727;12,08409091;11,78090909;11,52363636;11,305
2001-04-30;17,4325;17,158;16,55473684;16,20368421;14,82842105;14;13,42157895;12,94210526;12,52473684;12,16736842;11,85631579;11,58105263;11,34789474
2001-05-31;17,50142857;17,2252381;16,5852381;16,14909091;14,85136364;14,17318182;13,72727273;13,37363636;13,03818182;12,73454545;12,44363636;12,16363636;11,90227273
2001-06-29;17,3725;16,874;16,3285;15,86666667;14,7425;14,1965;13,854;13,5615;13,311;12,9935;12,7165;12,444;12,1835
2001-07-31;16,13590909;16,01818182;15,70545455;15,535;14,63090909;14,21136364;13,93136364;13,67545455;13,39136364;13,10636364;12,82181818;12,52863636;12,23272727
2001-08-31;15,72608696;15,34782609;15,05181818;14,82181818;14,13;13,86863636;13,73090909;13,58454545;13,38090909;13,14272727;12,87818182;12,59863636;12,31045455
2001-09-28;14,9465;14,706;14,3085;13,978;13,402;13,2145;13,084;12,9395;12,7295;12,4945;12,229;11,952;11,6665
2001-10-31;14,78869565;14,01826087;13,23565217;12,55434783;11,78130435;11,51521739;11,35217391;11,20173913;11,04913043;10,88695652;10,71869565;10,53391304;10,34304348
2001-11-30;14,54285714;13,8647619;12,89238095;11,73952381;10,57714286;10,25619048;10,08952381;9,94;9,754285714;9,577619048;9,383333333;9,192857143;9,005714286
2001-12-31;12,47947368;12,28947368;11,8175;10,87944444;10,10166667;9,932222222;9,862777778;9,793333333;9,638333333;9,492222222;9,307777778;9,123333333;8,941666667
2002-01-31;11,89136364;10,99772727;10,53;9,792727273;9,154090909;9,036818182;9,005;8,968636364;8,862272727;8,765909091;8,624090909;8,474090909;8,337272727
2002-02-28;10,8375;10,604;10,3995;9,9005;9,4195;9,285;9,223;9,172;9,0465;8,9295;8,7605;8,606;8,4795
