"","V1","temp","temp","temp","temp","temp","temp","temp","temp","temp"
"1",6.55,6.85,6.88,6.9,6.91,6.826,6.851,6.927,6.847,6.637
"2",6.31,6.56,6.64,6.65,6.66,5.919,5.882,5.863,5.806,5.998
"3",5.61,5.88,5.95,5.97,5.98,5.327,5.238,5.248,5.335,5.458
"4",4.56,4.86,4.91,4.94,4.94,4.757,4.97,4.997,5.091,5.734
"5",4.2,4.51,4.56,4.57,4.57,5.664,5.95,5.903,5.872,6.191
"6",3.7,4.17,4.26,4.3,4.31,5.627,5.752,5.88,6.037,6.274
"7",3.69,4.3,4.41,4.51,4.61,5.518,5.644,5.696,5.789,6.207
"8",4.01,4.62,4.71,4.87,5.03,5.511,5.577,5.677,5.792,6.31
"9",3.78,4.44,4.62,4.73,4.82,5.443,5.386,5.569,5.791,6.315
"10",3.55,4.17,4.37,4.46,4.53,5.056,4.97,5.173,5.438,6.085
"11",3.52,4.18,4.33,4.44,4.49,5.104,5.22,5.336,5.626,6.096
"12",3.53,4.18,4.34,4.44,4.49,5.107,5.126,5.367,5.733,6.195
"13",3.52,4.18,4.31,4.42,4.48,5.001,4.953,5.217,5.675,6.132
"14",3.54,4.19,4.3,4.41,4.48,5.13,5.213,5.443,5.658,6.179
"15",3.76,4.27,4.39,4.47,4.53,5.186,5.298,5.695,5.911,6.235
"16",3.62,4.19,4.29,4.42,4.5,4.99,5.053,5.332,5.596,6.116
"17",3.63,4.15,4.25,4.37,4.45,4.986,5.012,5.324,5.523,6.061
"18",3.63,4.1,4.21,4.31,4.41,4.531,4.717,5.005,5.134,5.534
"19",3.61,3.86,4.02,4.18,4.26,4.567,4.715,5.008,5.145,5.668
"20",3.62,3.86,4.01,4.17,4.25,4.668,4.728,5.078,5.3,6.11
"21",3.64,3.87,4,4.19,4.25,4.848,4.954,5.255,5.41,5.938
"22",3.6,3.82,3.99,4.19,4.23,4.729,4.84,5.138,5.395,5.882
"23",3.6,3.81,4,4.19,4.24,4.682,4.806,5.106,5.17,5.43
"24",3.61,3.84,4.05,4.22,4.26,4.707,4.749,4.955,5.06,5.487
"25",3.62,3.85,4.05,4.22,4.26,4.732,5.049,5.26,5.346,5.666
"26",3.61,3.88,4.08,4.27,4.3,4.865,5.18,5.423,5.526,6.051
"27",3.66,3.95,4.16,4.33,4.37,4.802,5.084,5.343,5.517,6.071
"28",3.85,4.09,4.32,4.45,4.5,5.023,5.429,5.72,5.913,6.34
"29",3.89,4.15,4.37,4.48,4.54,5.073,5.379,5.683,5.842,6.225
"30",3.92,4.19,4.41,4.51,4.57,5.028,5.351,5.639,5.798,6.285
"31",4.1,4.3,4.5,4.6,4.66,5.001,5.295,5.577,5.772,6.146
"32",4.36,4.45,4.61,4.71,4.76,5.007,5.219,5.417,5.583,6.061
"33",4.62,4.69,4.75,4.79,4.85,4.859,5.034,5.233,5.356,5.843
"34",4.62,4.71,4.78,4.81,4.85,4.697,4.864,5.106,5.287,5.804
"35",4.61,4.72,4.85,4.86,4.88,4.461,4.679,4.771,4.981,5.635
